path,src,zip,member,licence,side,palette,flat
0000048.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,12,0.483
0000049.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,29,12,0.453
0000050.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.4938
0000051.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.5055
0000052.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.4963
0000053.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.4988
0000054.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.5106
0000055.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.5061
0000056.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.49
0000057.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.4795
0000058.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,10,0.5076
0000059.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,9,0.5319
0000060.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,9,0.5268
0000061.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,10,0.5063
0000062.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,10,0.4924
0000063.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,10,0.5209
0000064.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,10,0.4969
0000065.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,10,0.4651
0000066.png,data/oga5_cut_ccby3,2D_Art_00.zip,Walking Sheet_0.png,CC-BY-3.0,17,4,0.6087
0000067.png,data/oga5_cut_ccby3,2D_Art_00.zip,Walking Sheet_0.png,CC-BY-3.0,17,4,0.6014
0000068.png,data/oga5_cut_ccby3,2D_Art_00.zip,Walking Sheet_0.png,CC-BY-3.0,15,4,0.6014
0000069.png,data/oga5_cut_ccby3,2D_Art_00.zip,CavePlatformer.png,CC-BY-3.0,41,6,0.786
0000070.png,data/oga5_cut_ccby3,2D_Art_00.zip,CavePlatformer.png,CC-BY-3.0,68,7,0.729
0000071.png,data/oga5_cut_ccby3,2D_Art_00.zip,CavePlatformer.png,CC-BY-3.0,66,9,0.624
0000072.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,34,13,0.5486
0000073.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,34,13,0.5511
0000074.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,66,13,0.574
0000075.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,36,13,0.5865
0000076.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,68,13,0.5719
0000077.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,68,13,0.5722
0000078.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,68,13,0.5664
0000079.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,13,0.5617
0000080.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,13,0.5596
0000081.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,13,0.5797
0000082.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,14,0.5635
0000083.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,13,0.6054
0000084.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,13,0.5951
0000085.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,13,0.597
0000086.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,35,13,0.565
0000087.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,34,14,0.591
0000088.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,33,13,0.5783
0000089.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,33,13,0.5776
0000090.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,33,13,0.555
0000091.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,31,13,0.5423
0000092.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,29,13,0.5438
0000093.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,30,13,0.5522
0000094.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,26,13,0.5376
0000095.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,26,13,0.5349
0000096.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,28,13,0.5357
0000097.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,28,12,0.5147
0000098.png,data/oga5_cut_ccby3,2D_Art_00.zip,HunterOrc_0.png,CC-BY-3.0,28,12,0.5036
0000099.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5528
0000100.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,17,0.556
0000101.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5525
0000102.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5437
0000103.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5437
0000104.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5443
0000105.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5464
0000106.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5391
0000107.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5491
0000108.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5437
0000109.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5444
0000110.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5381
0000111.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5362
0000112.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5421
0000113.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,18,0.5469
0000114.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,18,0.54
0000115.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,18,0.5388
0000116.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,18,0.5365
0000117.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,18,0.5447
0000118.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5559
0000119.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5537
0000120.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5556
0000121.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5525
0000122.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5502
0000123.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5564
0000124.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5433
0000125.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,38,17,0.5513
0000126.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,37,18,0.5495
0000127.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,18,0.5448
0000128.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,31,10,0.7111
0000129.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,40,19,0.5272
0000130.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,31,7,0.8261
0000131.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5446
0000132.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,17,0.5481
0000133.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,16,0.5503
0000134.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,19,0.5433
0000135.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,40,19,0.5408
0000136.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,16,0.5519
0000137.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5495
0000138.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,16,0.52
0000139.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,28,6,0.8156
0000140.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,36,18,0.5437
0000141.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,18,0.551
0000142.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,33,18,0.5638
0000143.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,32,17,0.5539
0000144.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,35,17,0.5371
0000145.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,17,0.5236
0000146.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,17,0.5417
0000147.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,32,15,0.5344
0000148.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,10,0.6047
0000149.png,data/oga5_cut_ccby3,2D_Art_00.zip,RedMinotaur.png,CC-BY-3.0,34,8,0.6159
0000150.png,data/oga5_cut_ccby3,2D_Art_00.zip,rabbit_normal_0.png,CC-BY-3.0,48,5,0.7058
0000151.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,34,15,0.6
0000152.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,34,15,0.5882
0000153.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,34,15,0.5882
0000154.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,34,15,0.6
0000155.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,34,15,0.6
0000156.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5993
0000157.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5809
0000158.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5943
0000159.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.6074
0000160.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.6006
0000161.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.6078
0000162.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,16,0.6053
0000163.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,16,0.6077
0000164.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,17,0.6031
0000165.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,16,0.5809
0000166.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5935
0000167.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5798
0000168.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5748
0000169.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5891
0000170.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5698
0000171.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5845
0000172.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,14,0.6023
0000173.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5836
0000174.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,34,15,0.5962
0000175.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,34,15,0.5937
0000176.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.601
0000177.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5926
0000178.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.586
0000179.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5676
0000180.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5712
0000181.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5804
0000182.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.565
0000183.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,16,0.5736
0000184.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,16,0.5705
0000185.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,35,15,0.5856
0000186.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,33,15,0.5973
0000187.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,33,15,0.6057
0000188.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,32,15,0.6095
0000189.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,29,15,0.6116
0000190.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,25,14,0.6009
0000191.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,23,14,0.6034
0000192.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,22,10,0.5969
0000193.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,26,8,0.6344
0000194.png,data/oga5_cut_ccby3,2D_Art_00.zip,PyromaniacOrc.png,CC-BY-3.0,27,6,0.6942
0000195.png,data/oga5_cut_ccby3,2D_Art_00.zip,back_silver.png,CC-BY-3.0,32,174,0.408
0000196.png,data/oga5_cut_ccby3,2D_Art_00.zip,storm_shadow.png,CC-BY-3.0,27,16,0.474
0000197.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,33,399,0.0071
0000198.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,386,0.0015
0000199.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,391,0.0088
0000200.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,339,0.0638
0000201.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,388,0.0059
0000202.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,370,0.0307
0000203.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,30,393,0.0029
0000204.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,393,0.0
0000205.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,30,374,0.0029
0000206.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,398,0.0058
0000207.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,33,399,0.0085
0000208.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,399,0.0071
0000209.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,33,391,0.0015
0000210.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,388,0.0029
0000211.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,390,0.0
0000212.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,376,0.0349
0000213.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,30,391,0.0073
0000214.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,385,0.0088
0000215.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,384,0.0015
